id,product_name,category,base_price
1,Cable,Electronics,105.51
2,Keyboard,Computing,60.61
3,Speaker,Electronics,44.61
4,Cable,Electronics,339.18
5,Speaker,Accessories,207.92
6,Microphone,Accessories,466.95
7,Cable,Computing,472.07
8,Keyboard,Electronics,236.18
9,Keyboard,Computing,27.53
10,Mouse,Computing,43.42
11,Speaker,Electronics,185.29
12,Adapter,Accessories,467.65
13,Mouse,Computing,441.99
14,Monitor,Computing,389.83
15,Adapter,Accessories,347.05
16,Laptop,Computing,295.78
17,Speaker,Electronics,103.48
18,Monitor,Electronics,471.28
19,Speaker,Computing,132.36
20,Monitor,Computing,377.98
21,Monitor,Electronics,443.15
22,Webcam,Electronics,223.51
23,Webcam,Accessories,29.58
24,Cable,Accessories,24.36
25,Speaker,Computing,129.13
26,Monitor,Accessories,246.39
27,Keyboard,Computing,423.55
28,Speaker,Electronics,42.67
29,Adapter,Computing,186.63
30,Keyboard,Electronics,342.55
31,Laptop,Accessories,309.81
32,Mouse,Computing,159.18
33,Laptop,Computing,211.26
34,Keyboard,Computing,476.23
35,Laptop,Accessories,431.89
36,Speaker,Accessories,152.27
37,Monitor,Accessories,201.16
38,Keyboard,Computing,496.38
39,Monitor,Electronics,173.9
40,Keyboard,Accessories,241.29
41,Webcam,Accessories,495.81
42,Monitor,Computing,389.28
43,Mouse,Accessories,408.04
44,Cable,Electronics,65.58
45,Mouse,Accessories,454.55
46,Headphones,Accessories,144.81
47,Mouse,Electronics,36.29
48,Monitor,Electronics,84.9
49,Speaker,Accessories,446.84
50,Laptop,Computing,388.27
51,Headphones,Electronics,46.93
52,Speaker,Computing,115.85
53,Cable,Accessories,123.89
54,Microphone,Computing,259.33
55,Keyboard,Electronics,23.36
56,Keyboard,Accessories,472.75
57,Headphones,Computing,437.85
58,Adapter,Computing,176.99
59,Keyboard,Computing,276.33
60,Laptop,Computing,483.04
61,Adapter,Electronics,462.25
62,Keyboard,Accessories,263.96
63,Cable,Electronics,283.47
64,Laptop,Accessories,287.45
65,Cable,Computing,248.88
66,Headphones,Computing,414.23
67,Laptop,Accessories,394.65
68,Headphones,Electronics,23.12
69,Cable,Accessories,401.97
70,Speaker,Computing,41.42
71,Cable,Computing,11.81
72,Mouse,Accessories,279.93
73,Adapter,Electronics,213.31
74,Keyboard,Accessories,352.27
75,Webcam,Accessories,149.78
76,Cable,Electronics,498.4
77,Headphones,Electronics,46.88
78,Headphones,Electronics,241.23
79,Keyboard,Accessories,202.75
80,Laptop,Electronics,215.28
81,Laptop,Computing,254.74
82,Speaker,Computing,494.55
83,Monitor,Computing,218.71
84,Keyboard,Electronics,16.24
85,Laptop,Accessories,114.74
86,Laptop,Accessories,499.08
87,Mouse,Accessories,362.06
88,Speaker,Computing,413.26
89,Mouse,Accessories,447.36
90,Microphone,Electronics,265.43
91,Mouse,Electronics,58.68
