id,order_id,customer_id,tracking_number,ship_date,delivery_city,status
1,13393,8014,TRK221560,2024-11-05,Phoenix,delivered
2,1632,13314,TRK143651,2024-08-10,Chicago,delivered
3,7465,6452,TRK943522,2024-02-22,Los Angeles,delivered
4,16638,3289,TRK360497,2024-01-23,Chicago,delivered
5,11753,14649,TRK106830,2024-06-11,Philadelphia,in_transit
6,13926,2941,TRK320482,2024-04-04,San Jose,delivered
7,8277,4488,TRK975896,2024-11-14,Chicago,delivered
8,18948,10590,TRK544932,2024-04-02,Dallas,in_transit
9,11917,2739,TRK753318,2024-03-19,New York,delivered
10,17626,11035,TRK424834,2024-04-08,Chicago,in_transit
11,10262,14202,TRK847478,2024-10-06,San Jose,in_transit
12,12524,9886,TRK507920,2024-02-01,Phoenix,in_transit
13,3154,6890,TRK117502,2024-10-03,New York,delivered
14,14733,10668,TRK519421,2024-04-15,Los Angeles,delivered
15,19032,4851,TRK248486,2024-06-02,Chicago,delivered
16,11486,9902,TRK786588,2024-11-02,New York,in_transit
17,15597,7927,TRK147917,2024-09-13,Phoenix,delivered
18,1124,9336,TRK333633,2024-01-27,Dallas,delivered
19,14116,798,TRK586302,2024-04-23,Phoenix,in_transit
20,6654,2759,TRK501458,2024-11-24,Houston,in_transit
21,15244,5446,TRK983770,2024-04-01,Phoenix,delivered
22,13208,11549,TRK701244,2024-10-03,San Antonio,in_transit
23,16589,10529,TRK534527,2024-06-01,San Diego,in_transit
24,14299,10657,TRK818909,2024-08-01,Dallas,delivered
25,8590,13541,TRK197656,2024-12-09,Houston,delivered
26,8508,3132,TRK368961,2024-04-16,Dallas,delivered
27,948,11176,TRK320438,2024-10-22,New York,in_transit
28,1660,3168,TRK509821,2024-12-24,Dallas,in_transit
29,18551,4855,TRK451844,2024-06-12,Houston,in_transit
30,7144,11282,TRK541777,2024-06-02,Los Angeles,in_transit
31,17078,5905,TRK760628,2024-10-13,San Jose,in_transit
32,19638,9567,TRK605062,2024-12-21,Dallas,in_transit
33,13754,14796,TRK670171,2024-03-17,Dallas,in_transit
34,716,7138,TRK110682,2024-11-28,New York,delivered
35,4899,11075,TRK276877,2024-01-19,San Antonio,in_transit
36,4630,3586,TRK594027,2024-10-24,San Jose,delivered
37,11084,13501,TRK184388,2024-12-25,Chicago,delivered
38,2401,3140,TRK583813,2024-02-10,Philadelphia,delivered
39,10902,5096,TRK957276,2024-12-23,Los Angeles,in_transit
40,15756,11039,TRK785467,2024-07-15,San Antonio,delivered
41,19421,10663,TRK556919,2024-06-04,Los Angeles,delivered
42,18329,12505,TRK856755,2024-12-17,Chicago,delivered
43,7862,1153,TRK704068,2024-02-03,Houston,delivered
44,13541,13794,TRK477671,2024-07-15,Houston,delivered
45,8120,13000,TRK218165,2024-03-16,Phoenix,delivered
46,17351,11868,TRK829224,2024-07-21,San Diego,delivered
47,6426,5507,TRK956337,2024-08-22,Philadelphia,delivered
48,8717,5666,TRK313497,2024-07-21,San Jose,in_transit
49,12190,7627,TRK587205,2024-01-13,Phoenix,in_transit
50,13766,3324,TRK254786,2024-04-01,Chicago,delivered
51,7137,784,TRK357069,2024-06-27,Los Angeles,in_transit
52,2146,971,TRK178086,2024-03-05,Chicago,in_transit
53,11165,7227,TRK850104,2024-10-05,San Antonio,delivered
54,3301,9186,TRK979504,2024-05-07,Phoenix,in_transit
55,12968,14105,TRK100753,2024-02-23,Los Angeles,in_transit
56,5454,9397,TRK674513,2024-01-12,San Diego,in_transit
57,14763,2458,TRK486620,2024-10-28,Chicago,in_transit
58,2532,12928,TRK393003,2024-01-26,Houston,delivered
59,3483,8572,TRK878836,2024-10-21,Houston,delivered
60,19535,466,TRK476442,2024-04-23,San Jose,delivered
61,4038,14995,TRK235348,2024-06-28,New York,in_transit
62,13779,7743,TRK757749,2024-11-03,Phoenix,in_transit
63,11891,13136,TRK300611,2024-02-17,San Jose,delivered
64,18808,10862,TRK975440,2024-02-26,New York,in_transit
65,5666,1701,TRK794568,2024-08-09,Los Angeles,delivered
66,16704,14595,TRK439469,2024-10-15,San Jose,in_transit
67,11973,2601,TRK153393,2024-03-05,San Antonio,in_transit
68,19408,9711,TRK333115,2024-01-27,Philadelphia,in_transit
69,14822,8728,TRK317368,2024-06-26,San Jose,in_transit
70,2638,13861,TRK183221,2024-10-26,Los Angeles,delivered
71,9770,3210,TRK809813,2024-05-04,San Antonio,delivered
72,922,12752,TRK400448,2024-03-03,Los Angeles,delivered
73,16119,6335,TRK740612,2024-02-24,Los Angeles,in_transit
74,16402,5842,TRK200749,2024-01-21,San Jose,delivered
75,6258,14086,TRK629187,2024-10-26,San Jose,in_transit
76,10014,1462,TRK225865,2024-09-21,San Antonio,in_transit
77,10775,246,TRK167630,2024-02-20,San Jose,in_transit
78,2962,1928,TRK733916,2024-08-17,San Antonio,in_transit
79,12413,1286,TRK399790,2024-03-08,San Diego,in_transit
80,18715,1311,TRK791927,2024-04-12,New York,delivered
81,11551,14556,TRK292649,2024-05-28,San Antonio,in_transit
82,8573,5334,TRK325007,2024-06-22,San Jose,in_transit
83,12743,8939,TRK938688,2024-08-05,San Jose,delivered
84,8093,7281,TRK100732,2024-06-01,Chicago,delivered
85,990,1744,TRK394031,2024-01-08,San Antonio,delivered
86,9579,2936,TRK494231,2024-01-12,San Jose,delivered
87,17328,13960,TRK443716,2024-08-10,Chicago,delivered
88,10237,3367,TRK850280,2024-04-01,Philadelphia,in_transit
89,17630,5466,TRK953402,2024-02-19,Los Angeles,delivered
90,15584,6616,TRK296228,2024-03-25,Houston,in_transit
91,16874,14855,TRK464530,2024-03-07,San Diego,in_transit
92,11317,1601,TRK109436,2024-08-01,Houston,delivered
93,7926,9746,TRK254460,2024-04-27,Philadelphia,delivered
94,17082,9554,TRK231320,2024-01-03,San Jose,in_transit
95,685,1384,TRK267394,2024-10-24,Los Angeles,delivered
96,11810,9484,TRK948779,2024-10-27,Phoenix,delivered
97,18716,10865,TRK694870,2024-07-12,New York,delivered
98,1447,12210,TRK521870,2024-02-27,Houston,delivered
99,3971,2841,TRK153684,2024-01-18,Dallas,in_transit
100,4493,11484,TRK983754,2024-04-01,San Diego,delivered
101,3187,8690,TRK701204,2024-03-06,New York,delivered
102,13216,11673,TRK967133,2024-05-01,Los Angeles,in_transit
103,11824,4907,TRK191409,2024-04-15,San Jose,delivered
104,18375,7845,TRK400884,2024-09-20,San Diego,in_transit
105,14753,10857,TRK232293,2024-10-12,Philadelphia,delivered
106,15655,11790,TRK516328,2024-09-05,New York,in_transit
107,12004,2497,TRK179655,2024-12-20,San Diego,in_transit
108,18428,4677,TRK812727,2024-07-11,Houston,in_transit
109,5540,13812,TRK367558,2024-02-17,Dallas,in_transit
110,13532,1591,TRK607462,2024-11-19,San Diego,in_transit
111,13137,7915,TRK238882,2024-02-12,Philadelphia,delivered
112,6609,8685,TRK548859,2024-07-04,Dallas,delivered
113,14378,10967,TRK363271,2024-11-04,San Diego,delivered
114,8484,14650,TRK430338,2024-12-11,San Antonio,in_transit
115,15059,3546,TRK746738,2024-10-07,Phoenix,delivered
116,11379,6141,TRK837832,2024-05-13,Dallas,in_transit
117,12671,12323,TRK762289,2024-10-19,Houston,delivered
118,13721,3848,TRK306912,2024-09-22,Los Angeles,delivered
119,7679,6342,TRK894374,2024-11-06,New York,in_transit
120,4087,86,TRK163603,2024-03-15,San Diego,delivered
121,1119,6126,TRK798489,2024-03-05,Dallas,in_transit
122,15944,14802,TRK282172,2024-12-11,Los Angeles,in_transit
123,3203,7414,TRK461065,2024-04-27,Houston,in_transit
124,18350,8857,TRK188555,2024-12-05,Phoenix,delivered
125,15252,12161,TRK603421,2024-07-04,San Diego,in_transit
126,12378,6774,TRK931650,2024-07-04,Houston,delivered
127,5448,11796,TRK825552,2024-06-14,San Jose,in_transit
128,9555,5088,TRK571702,2024-01-22,Houston,delivered
129,12671,12323,TRK556506,2024-05-13,Houston,delivered
130,11574,10788,TRK129166,2024-05-19,Dallas,in_transit
131,3821,14261,TRK721033,2024-01-09,Dallas,delivered
132,12827,3452,TRK329471,2024-07-27,San Jose,in_transit
133,17046,14027,TRK895303,2024-05-12,San Jose,in_transit
134,3437,4385,TRK803123,2024-10-06,San Diego,in_transit
135,11652,6072,TRK573774,2024-04-11,Los Angeles,in_transit
136,10633,2323,TRK324213,2024-05-18,San Jose,in_transit
137,5125,4741,TRK646339,2024-04-23,San Diego,in_transit
138,3988,5223,TRK896749,2024-08-23,San Jose,in_transit
139,8460,6420,TRK620894,2024-05-20,Philadelphia,in_transit
140,13264,13499,TRK904089,2024-06-09,Philadelphia,delivered
141,8842,14420,TRK783646,2024-06-21,Philadelphia,in_transit
142,16524,9986,TRK233637,2024-06-08,Dallas,in_transit
143,286,3418,TRK326533,2024-06-26,Philadelphia,delivered
144,11129,6629,TRK884857,2024-01-20,New York,in_transit
145,3211,2953,TRK290160,2024-06-19,Chicago,in_transit
146,8291,12860,TRK880236,2024-03-20,Philadelphia,in_transit
147,7968,13554,TRK108294,2024-03-09,Los Angeles,in_transit
148,4765,11480,TRK134106,2024-11-15,San Diego,in_transit
149,1831,7363,TRK348609,2024-08-16,Philadelphia,in_transit
150,12639,10656,TRK708536,2024-10-09,Phoenix,delivered
151,9663,7174,TRK364217,2024-12-07,Philadelphia,in_transit
152,18068,5965,TRK134383,2024-05-16,Houston,in_transit
153,18418,37,TRK542495,2024-12-12,New York,in_transit
154,11822,11165,TRK342438,2024-08-25,San Diego,delivered
155,9971,12530,TRK875850,2024-11-04,San Jose,in_transit
156,13964,14342,TRK205796,2024-09-28,San Antonio,in_transit
157,17148,3463,TRK591414,2024-08-02,San Diego,delivered
158,6073,6181,TRK818438,2024-03-23,Dallas,delivered
159,10901,11240,TRK751072,2024-02-28,New York,delivered
160,4333,2563,TRK829964,2024-09-02,Houston,in_transit
161,8302,6928,TRK775310,2024-09-25,Philadelphia,in_transit
162,16916,6360,TRK841080,2024-06-13,Chicago,delivered
163,13119,9811,TRK674065,2024-10-14,San Antonio,in_transit
164,13923,5910,TRK783344,2024-07-18,New York,delivered
165,97,14817,TRK564153,2024-04-17,Phoenix,in_transit
166,9351,12870,TRK314612,2024-10-13,San Jose,in_transit
167,4310,11408,TRK177492,2024-04-21,Philadelphia,delivered
168,7126,4592,TRK783533,2024-05-06,New York,in_transit
169,8591,12068,TRK352118,2024-11-23,Houston,in_transit
170,2594,5004,TRK228637,2024-06-26,Phoenix,in_transit
171,265,9750,TRK730791,2024-06-24,Dallas,delivered
172,4467,1943,TRK560705,2024-02-03,Los Angeles,delivered
173,19497,7863,TRK404691,2024-03-26,Houston,delivered
174,9406,7408,TRK989543,2024-08-20,Dallas,delivered
175,16518,1684,TRK355458,2024-08-01,Chicago,delivered
176,10590,6464,TRK640450,2024-04-21,San Jose,in_transit
177,18621,14205,TRK737060,2024-08-08,San Diego,in_transit
178,7304,12570,TRK534316,2024-04-02,Dallas,in_transit
179,8868,6494,TRK757354,2024-12-02,Phoenix,delivered
180,15852,2447,TRK207620,2024-04-09,Dallas,delivered
181,13544,4069,TRK639614,2024-08-20,Los Angeles,delivered
182,17387,10977,TRK540779,2024-11-22,Los Angeles,in_transit
183,10636,4653,TRK601120,2024-10-02,San Jose,in_transit
184,19320,12188,TRK526659,2024-12-25,San Antonio,in_transit
185,15345,2342,TRK180139,2024-06-16,New York,in_transit
186,6191,1150,TRK520403,2024-01-23,San Diego,delivered
187,2481,8300,TRK636245,2024-08-18,Los Angeles,delivered
188,16648,12502,TRK422606,2024-08-01,Philadelphia,in_transit
189,18287,8293,TRK144363,2024-08-19,Dallas,delivered
190,11708,1343,TRK340268,2024-12-14,Houston,in_transit
191,3178,9653,TRK555402,2024-01-17,Philadelphia,delivered
192,4352,9216,TRK875067,2024-06-02,Phoenix,in_transit
193,10229,6502,TRK412997,2024-05-09,New York,delivered
194,3882,7799,TRK989744,2024-01-07,New York,delivered
195,4336,9753,TRK532983,2024-12-14,Chicago,delivered
196,17085,821,TRK835407,2024-05-22,Chicago,in_transit
197,12903,3893,TRK514441,2024-04-07,Houston,in_transit
198,16072,10411,TRK966528,2024-03-21,San Jose,delivered
199,17003,8990,TRK767736,2024-09-14,Philadelphia,in_transit
200,15496,7973,TRK272799,2024-02-26,Phoenix,in_transit
201,5808,13129,TRK576891,2024-12-16,New York,in_transit
202,18143,6569,TRK549470,2024-01-23,Phoenix,in_transit
203,19285,1173,TRK246581,2024-05-09,San Diego,in_transit
204,4835,13486,TRK293361,2024-10-23,San Antonio,in_transit
205,7106,2486,TRK329666,2024-04-16,Dallas,delivered
206,8584,9050,TRK506199,2024-05-25,San Antonio,delivered
207,6831,8552,TRK810710,2024-05-08,Los Angeles,delivered
208,15434,4967,TRK353870,2024-05-13,San Jose,delivered
209,12125,9401,TRK176850,2024-03-03,San Jose,in_transit
210,1867,2106,TRK477996,2024-11-24,Houston,delivered
211,18942,9672,TRK100599,2024-03-19,Houston,delivered
212,3444,6754,TRK280833,2024-10-14,Los Angeles,delivered
213,7492,10618,TRK874113,2024-12-27,San Jose,in_transit
214,12871,7671,TRK838115,2024-01-04,New York,in_transit
215,13579,9786,TRK951634,2024-08-20,Philadelphia,delivered
216,4106,8787,TRK639376,2024-02-21,San Antonio,in_transit
217,16166,12753,TRK824617,2024-02-17,New York,delivered
218,321,13727,TRK505514,2024-01-22,Los Angeles,in_transit
219,7643,7584,TRK588217,2024-08-14,Dallas,delivered
220,5063,2258,TRK642787,2024-07-15,San Jose,in_transit
221,5785,13751,TRK146886,2024-11-13,San Diego,in_transit
222,8325,14977,TRK137572,2024-07-18,San Antonio,in_transit
223,468,14128,TRK868861,2024-12-07,San Diego,delivered
224,14699,10774,TRK642745,2024-10-15,San Antonio,delivered
225,10937,3039,TRK915031,2024-09-09,Phoenix,in_transit
226,9567,3637,TRK193150,2024-05-07,Phoenix,in_transit
227,1446,7172,TRK865379,2024-11-09,San Diego,in_transit
228,609,5441,TRK166880,2024-11-02,San Jose,delivered
229,15453,7549,TRK251339,2024-08-10,Los Angeles,in_transit
230,12374,12152,TRK334525,2024-09-12,San Antonio,in_transit
231,4800,11487,TRK265306,2024-07-02,San Antonio,delivered
232,5972,8053,TRK152477,2024-10-05,San Diego,in_transit
233,18875,3077,TRK478860,2024-02-28,San Antonio,in_transit
234,4025,11959,TRK407562,2024-04-08,San Jose,in_transit
