arg1,arg2,arg3
C001,CN001,P002
C002,CN002,P003
C003,CN003,P004
C004,CN004,P005
C005,CN005,P006
C006,CN006,P007
C007,CN007,P008
C008,CN008,P009
C009,CN009,P010
C010,CN010,P011
C011,CN011,P012
C012,CN012,P013
C013,CN013,P014
C014,CN014,P015
C015,CN015,P016
C016,CN016,P017
C017,CN017,P018
C018,CN018,P019
C019,CN019,P020
C020,CN020,P001
C021,CN021,P002
C022,CN022,P003
C023,CN023,P004
C024,CN024,P005
C025,CN025,P006
C026,CN026,P007
C027,CN027,P008
C028,CN028,P009
C029,CN029,P010
C030,CN030,P011
C031,CN031,P012
C032,CN032,P013
C033,CN033,P014
C034,CN034,P015
C035,CN035,P016
C036,CN036,P017
C037,CN037,P018
C038,CN038,P019
C039,CN039,P020
C040,CN040,P001
C041,CN041,P002
C042,CN042,P003
C043,CN043,P004
C044,CN044,P005
C045,CN045,P006
C046,CN046,P007
C047,CN047,P008
C048,CN048,P009
C049,CN049,P999
C050,CN050,P999
