source_file,database,rule_id,type,display
MATILDA_NCAA_results.json,NCAA,NCAA_1,TGDRule,∀ x0: target_0(team_id1=x0) ⇒ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_2,TGDRule,∀ x0: teams_0(team_id=x0) ⇒ target_0(team_id1=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_3,TGDRule,∀ x0: teams_1(team_id=x0) ⇒ target_0(team_id1=x0) ∧ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_4,TGDRule,∀ x0: target_0(team_id1=x0) ∧ teams_1(team_id=x0) ⇒ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_5,TGDRule,∀ x0: target_0(team_id1=x0) ⇒ teams_0(team_id=x0) ∧ teams_1(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_6,TGDRule,∀ x0: target_0(team_id1=x0) ∧ teams_0(team_id=x0) ⇒ teams_1(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_7,TGDRule,∀ x0: teams_0(team_id=x0) ⇒ target_0(team_id1=x0) ∧ teams_1(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_8,TGDRule,∀ x0: teams_0(team_id=x0) ∧ teams_1(team_id=x0) ⇒ target_0(team_id1=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_9,TGDRule,"∀ x0: teams_1(team_id=x0) ⇒ ∃ z0: target_0(team_id1=z0, team_id2=x0) ∧ teams_0(team_id=z0)"
MATILDA_NCAA_results.json,NCAA,NCAA_10,TGDRule,"∀ x0, y0: target_0(team_id1=x0, team_id2=y0) ∧ teams_1(team_id=y0) ⇒ teams_0(team_id=x0)"
MATILDA_NCAA_results.json,NCAA,NCAA_11,TGDRule,"∀ x0, x1: target_0(team_id1=x0, team_id2=x1) ⇒ teams_0(team_id=x0) ∧ teams_1(team_id=x1)"
MATILDA_NCAA_results.json,NCAA,NCAA_12,TGDRule,"∀ x0, y0: target_0(team_id1=y0, team_id2=x0) ∧ teams_0(team_id=y0) ⇒ teams_1(team_id=x0)"
MATILDA_NCAA_results.json,NCAA,NCAA_13,TGDRule,"∀ x0: teams_0(team_id=x0) ⇒ ∃ z0: target_0(team_id1=x0, team_id2=z0) ∧ teams_1(team_id=z0)"
MATILDA_NCAA_results.json,NCAA,NCAA_14,TGDRule,"∀ x0, x1: teams_0(team_id=x0) ∧ teams_1(team_id=x1) ⇒ target_0(team_id1=x0, team_id2=x1)"
MATILDA_NCAA_results.json,NCAA,NCAA_15,TGDRule,∀ x0: teams_0(team_id=x0) ⇒ regular_season_compact_results_0(wteam=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_16,TGDRule,∀ x0: regular_season_compact_results_0(wteam=x0) ⇒ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_17,TGDRule,∀ x0: teams_0(team_id=x0) ∧ teams_1(team_id=x0) ⇒ regular_season_compact_results_0(wteam=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_18,TGDRule,∀ x0: regular_season_compact_results_0(wteam=x0) ∧ teams_0(team_id=x0) ⇒ teams_1(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_19,TGDRule,∀ x0: regular_season_compact_results_0(wteam=x0) ∧ teams_1(team_id=x0) ⇒ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_20,TGDRule,∀ x0: regular_season_compact_results_0(wteam=x0) ⇒ teams_0(team_id=x0) ∧ teams_1(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_21,TGDRule,∀ x0: teams_1(team_id=x0) ⇒ regular_season_compact_results_0(wteam=x0) ∧ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_22,TGDRule,∀ x0: teams_0(team_id=x0) ⇒ regular_season_compact_results_0(wteam=x0) ∧ teams_1(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_23,TGDRule,"∀ x0, x1: teams_0(team_id=x0) ∧ teams_1(team_id=x1) ⇒ regular_season_compact_results_0(wteam=x0, lteam=x1)"
MATILDA_NCAA_results.json,NCAA,NCAA_24,TGDRule,"∀ x0, y0: regular_season_compact_results_0(wteam=y0, lteam=x0) ∧ teams_0(team_id=y0) ⇒ teams_1(team_id=x0)"
MATILDA_NCAA_results.json,NCAA,NCAA_25,TGDRule,"∀ x0, y0: regular_season_compact_results_0(wteam=x0, lteam=y0) ∧ teams_1(team_id=y0) ⇒ teams_0(team_id=x0)"
MATILDA_NCAA_results.json,NCAA,NCAA_26,TGDRule,"∀ x0, x1: regular_season_compact_results_0(wteam=x0, lteam=x1) ⇒ teams_0(team_id=x0) ∧ teams_1(team_id=x1)"
MATILDA_NCAA_results.json,NCAA,NCAA_27,TGDRule,"∀ x0: teams_1(team_id=x0) ⇒ ∃ z0: regular_season_compact_results_0(wteam=z0, lteam=x0) ∧ teams_0(team_id=z0)"
MATILDA_NCAA_results.json,NCAA,NCAA_28,TGDRule,"∀ x0: teams_0(team_id=x0) ⇒ ∃ z0: regular_season_compact_results_0(wteam=x0, lteam=z0) ∧ teams_1(team_id=z0)"
MATILDA_NCAA_results.json,NCAA,NCAA_29,TGDRule,∀ x0: regular_season_detailed_results_0(wteam=x0) ⇒ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_30,TGDRule,∀ x0: teams_0(team_id=x0) ⇒ regular_season_detailed_results_0(wteam=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_31,TGDRule,∀ x0: regular_season_detailed_results_0(wteam=x0) ⇒ teams_0(team_id=x0) ∧ teams_1(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_32,TGDRule,∀ x0: regular_season_detailed_results_0(wteam=x0) ∧ teams_1(team_id=x0) ⇒ teams_0(team_id=x0)
MATILDA_NCAA_results.json,NCAA,NCAA_33,TGDRule,∀ x0: teams_0(team_id=x0) ∧ teams_1(team_id=x0) ⇒ regular_season_detailed_results_0(wteam=x0)
